"GEO_ID","B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Geographic Area Name"
"1400000US06037101110","2.94","0.21","3.15","0.37","2.75","0.29","Census Tract 1011.10, Los Angeles County, California"
"1400000US06037101122","2.81","0.22","2.90","0.24","2.14","0.74","Census Tract 1011.22, Los Angeles County, California"
"1400000US06037101210","3.04","0.21","3.57","0.68","2.92","0.23","Census Tract 1012.10, Los Angeles County, California"
"1400000US06037101220","2.72","0.22","3.21","0.55","2.40","0.33","Census Tract 1012.20, Los Angeles County, California"
"1400000US06037101300","2.70","0.20","2.71","0.21","2.66","0.57","Census Tract 1013, Los Angeles County, California"
"1400000US06037101400","2.61","0.19","2.71","0.23","2.31","0.35","Census Tract 1014, Los Angeles County, California"
"1400000US06037102103","2.76","0.19","3.03","0.22","1.67","0.38","Census Tract 1021.03, Los Angeles County, California"
"1400000US06037102104","2.55","0.22","2.62","0.22","2.15","0.55","Census Tract 1021.04, Los Angeles County, California"
"1400000US06037102105","2.90","0.87","3.38","1.00","1.62","0.87","Census Tract 1021.05, Los Angeles County, California"
"1400000US06037102107","2.90","0.26","3.00","0.33","2.67","0.54","Census Tract 1021.07, Los Angeles County, California"
"1400000US06037103101","3.20","0.25","3.28","0.26","2.70","0.67","Census Tract 1031.01, Los Angeles County, California"
"1400000US06037103102","2.84","0.20","3.05","0.27","2.25","0.51","Census Tract 1031.02, Los Angeles County, California"
"1400000US06037103200","2.77","0.16","2.78","0.24","2.75","0.38","Census Tract 1032, Los Angeles County, California"
"1400000US06037103300","2.55","0.20","2.69","0.21","1.85","0.48","Census Tract 1033, Los Angeles County, California"
"1400000US06037103400","2.53","0.23","2.55","0.24","2.48","0.55","Census Tract 1034, Los Angeles County, California"
"1400000US06037104103","4.40","0.38","4.59","0.40","3.37","1.05","Census Tract 1041.03, Los Angeles County, California"
"1400000US06037104105","4.10","0.37","3.93","0.48","4.21","0.53","Census Tract 1041.05, Los Angeles County, California"
"1400000US06037104108","3.82","0.39","4.25","0.59","3.51","0.55","Census Tract 1041.08, Los Angeles County, California"
"1400000US06037104124","3.11","0.38","3.17","0.35","2.75","1.17","Census Tract 1041.24, Los Angeles County, California"
"1400000US06037104201","4.76","0.62","5.03","0.65","3.91","1.46","Census Tract 1042.01, Los Angeles County, California"
"1400000US06037104203","4.43","0.40","5.45","0.77","3.72","0.54","Census Tract 1042.03, Los Angeles County, California"
"1400000US06037104204","4.13","0.59","4.03","0.90","4.39","0.80","Census Tract 1042.04, Los Angeles County, California"
