"GEO_ID","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Geographic Area Name"
"1400000US06037101110","901","112","825","127","0","132","0","132","0","132","8","13","38","31","4","7","39","58","38","59","0","132","11","15","0","132","0","132","35","45","38","47","96","78","12","16","62","65","178","82","108","70","114","66","44","42","76","71","Census Tract 1011.10, Los Angeles County, California"
"1400000US06037101122","149","79","149","79","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","62","65","26","34","19","30","42","36","0","132","Census Tract 1011.22, Los Angeles County, California"
"1400000US06037101210","1781","151","1733","157","0","132","0","132","0","132","0","132","0","132","0","132","0","132","17","29","0","132","0","132","0","132","0","132","35","33","52","42","49","45","156","94","311","134","547","171","396","132","106","86","64","75","48","49","Census Tract 1012.10, Los Angeles County, California"
"1400000US06037101220","707","124","692","123","0","132","0","132","0","132","0","132","0","132","0","132","0","132","30","38","8","15","0","132","26","30","0","132","20","31","62","48","86","57","115","54","135","87","43","41","81","57","79","44","7","12","15","23","Census Tract 1012.20, Los Angeles County, California"
"1400000US06037101300","191","77","143","61","0","132","0","132","0","132","0","132","0","132","7","13","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","8","12","0","132","67","43","31","47","0","132","30","33","48","41","Census Tract 1013, Los Angeles County, California"
"1400000US06037101400","333","108","333","108","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","31","49","0","132","0","132","13","21","18","31","0","132","0","132","39","40","16","26","63","44","65","55","66","56","22","32","0","132","Census Tract 1014, Los Angeles County, California"
"1400000US06037102103","133","80","75","59","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","15","25","14","24","0","132","21","35","0","132","0","132","25","42","58","53","Census Tract 1021.03, Los Angeles County, California"
"1400000US06037102104","204","135","173","110","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","11","17","0","132","0","132","0","132","0","132","0","132","22","33","7","13","8","12","0","132","29","32","96","94","31","47","Census Tract 1021.04, Los Angeles County, California"
"1400000US06037102105","143","100","143","100","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","54","78","0","132","76","63","0","132","0","132","13","23","0","132","Census Tract 1021.05, Los Angeles County, California"
