"GEO_ID","B25064_001E","B25064_001M","NAME"
"id","Estimate!!Median gross rent","Margin of Error!!Median gross rent","Geographic Area Name"
"1400000US06037101110","1044","140","Census Tract 1011.10, Los Angeles County, California"
"1400000US06037101122","1370","581","Census Tract 1011.22, Los Angeles County, California"
"1400000US06037101210","1113","55","Census Tract 1012.10, Los Angeles County, California"
"1400000US06037101220","899","60","Census Tract 1012.20, Los Angeles County, California"
"1400000US06037101300","1211","175","Census Tract 1013, Los Angeles County, California"
"1400000US06037101400","1196","246","Census Tract 1014, Los Angeles County, California"
"1400000US06037102103","1101","947","Census Tract 1021.03, Los Angeles County, California"
"1400000US06037102104","2,000+","***","Census Tract 1021.04, Los Angeles County, California"
"1400000US06037102105","1058","251","Census Tract 1021.05, Los Angeles County, California"
"1400000US06037102107","629","312","Census Tract 1021.07, Los Angeles County, California"
"1400000US06037103101","2,000+","***","Census Tract 1031.01, Los Angeles County, California"
"1400000US06037103102","1134","518","Census Tract 1031.02, Los Angeles County, California"
"1400000US06037103200","994","209","Census Tract 1032, Los Angeles County, California"
"1400000US06037103300","1838","332","Census Tract 1033, Los Angeles County, California"
"1400000US06037103400","1047","124","Census Tract 1034, Los Angeles County, California"
"1400000US06037104103","1488","573","Census Tract 1041.03, Los Angeles County, California"
"1400000US06037104105","789","60","Census Tract 1041.05, Los Angeles County, California"
"1400000US06037104108","1140","158","Census Tract 1041.08, Los Angeles County, California"
"1400000US06037104124","1154","84","Census Tract 1041.24, Los Angeles County, California"
"1400000US06037104201","826","190","Census Tract 1042.01, Los Angeles County, California"
"1400000US06037104203","1009","197","Census Tract 1042.03, Los Angeles County, California"
"1400000US06037104204","1154","51","Census Tract 1042.04, Los Angeles County, California"
"1400000US06037104310","1531","681","Census Tract 1043.10, Los Angeles County, California"
"1400000US06037104320","1138","953","Census Tract 1043.20, Los Angeles County, California"
"1400000US06037104401","813","156","Census Tract 1044.01, Los Angeles County, California"
"1400000US06037104403","1176","140","Census Tract 1044.03, Los Angeles County, California"
"1400000US06037104404","977","101","Census Tract 1044.04, Los Angeles County, California"
"1400000US06037104500","1314","418","Census Tract 1045, Los Angeles County, California"
"1400000US06037104610","1277","379","Census Tract 1046.10, Los Angeles County, California"
"1400000US06037104620","1082","196","Census Tract 1046.20, Los Angeles County, California"
"1400000US06037104701","752","168","Census Tract 1047.01, Los Angeles County, California"
"1400000US06037104703","1163","101","Census Tract 1047.03, Los Angeles County, California"
"1400000US06037104704","1335","154","Census Tract 1047.04, Los Angeles County, California"
"1400000US06037104810","1239","320","Census Tract 1048.10, Los Angeles County, California"
"1400000US06037104821","1253","176","Census Tract 1048.21, Los Angeles County, California"
"1400000US06037104822","1253","256","Census Tract 1048.22, Los Angeles County, California"
"1400000US06037106010","1444","125","Census Tract 1060.10, Los Angeles County, California"
"1400000US06037106020","2,000+","***","Census Tract 1060.20, Los Angeles County, California"
"1400000US06037106111","1968","267","Census Tract 1061.11, Los Angeles County, California"
"1400000US06037106112","1704","216","Census Tract 1061.12, Los Angeles County, California"
"1400000US06037106113","1348","1069","Census Tract 1061.13, Los Angeles County, California"
"1400000US06037106114","1135","83","Census Tract 1061.14, Los Angeles County, California"
"1400000US06037106403","1556","312","Census Tract 1064.03, Los Angeles County, California"
"1400000US06037106405","1172","200","Census Tract 1064.05, Los Angeles County, California"
"1400000US06037106406","1115","913","Census Tract 1064.06, Los Angeles County, California"
"1400000US06037106407","1036","243","Census Tract 1064.07, Los Angeles County, California"
"1400000US06037106408","1086","116","Census Tract 1064.08, Los Angeles County, California"
"1400000US06037106510","1376","66","Census Tract 1065.10, Los Angeles County, California"
"1400000US06037106520","1359","459","Census Tract 1065.20, Los Angeles County, California"
"1400000US06037106603","2,000+","***","Census Tract 1066.03, Los Angeles County, California"
"1400000US06037106604","1114","98","Census Tract 1066.04, Los Angeles County, California"
"1400000US06037106641","2,000+","***","Census Tract 1066.41, Los Angeles County, California"
"1400000US06037106642","1480","1332","Census Tract 1066.42, Los Angeles County, California"
"1400000US06037106643","2,000+","***","Census Tract 1066.43, Los Angeles County, California"
"1400000US06037106645","1521","1420","Census Tract 1066.45, Los Angeles County, California"
