"B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","GEO_ID","NAME"
"Estimate!!Average household size --!!Total:","Margin of Error!!Average household size --!!Total:","Estimate!!Average household size --!!Total:!!Owner occupied","Margin of Error!!Average household size --!!Total:!!Owner occupied","Estimate!!Average household size --!!Total:!!Renter occupied","Margin of Error!!Average household size --!!Total:!!Renter occupied","id","Geographic Area Name"
"2.54","0.21","2.56","0.28","2.52","0.37","1400000US06037101110","Census Tract 1011.10, Los Angeles County, California"
"3.07","0.46","2.94","0.26","3.45","1.68","1400000US06037101122","Census Tract 1011.22, Los Angeles County, California"
"2.64","0.32","2.90","0.70","2.45","0.28","1400000US06037101220","Census Tract 1012.20, Los Angeles County, California"
"2.46","0.35","2.26","0.90","2.52","0.37","1400000US06037101221","Census Tract 1012.21, Los Angeles County, California"
"2.79","0.41","2.75","0.71","2.80","0.49","1400000US06037101222","Census Tract 1012.22, Los Angeles County, California"
"2.60","0.24","2.64","0.27","2.38","0.41","1400000US06037101300","Census Tract 1013, Los Angeles County, California"
"2.41","0.19","2.65","0.24","1.86","0.31","1400000US06037101400","Census Tract 1014, Los Angeles County, California"
"2.70","0.38","2.66","0.34","2.76","0.75","1400000US06037102103","Census Tract 1021.03, Los Angeles County, California"
"2.95","0.31","2.97","0.41","2.90","0.49","1400000US06037102104","Census Tract 1021.04, Los Angeles County, California"
"3.31","0.37","3.62","0.53","2.91","0.63","1400000US06037102105","Census Tract 1021.05, Los Angeles County, California"
"3.13","0.31","3.06","0.37","3.33","0.51","1400000US06037102107","Census Tract 1021.07, Los Angeles County, California"
"2.66","0.24","2.76","0.23","2.07","0.81","1400000US06037103101","Census Tract 1031.01, Los Angeles County, California"
"2.83","0.22","2.94","0.25","2.51","0.51","1400000US06037103102","Census Tract 1031.02, Los Angeles County, California"
"2.37","0.26","2.99","0.34","1.90","0.31","1400000US06037103201","Census Tract 1032.01, Los Angeles County, California"
"3.68","0.68","3.83","0.73","2.02","1.26","1400000US06037103202","Census Tract 1032.02, Los Angeles County, California"
"2.95","0.23","2.93","0.28","3.19","1.55","1400000US06037103300","Census Tract 1033, Los Angeles County, California"
"2.54","0.25","2.62","0.33","2.25","0.70","1400000US06037103401","Census Tract 1034.01, Los Angeles County, California"
"2.70","0.27","2.76","0.27","2.38","0.76","1400000US06037103402","Census Tract 1034.02, Los Angeles County, California"
"4.48","0.94","4.70","1.15","3.51","0.94","1400000US06037104103","Census Tract 1041.03, Los Angeles County, California"
"3.74","0.31","3.74","0.48","3.73","0.39","1400000US06037104105","Census Tract 1041.05, Los Angeles County, California"
"4.14","0.33","5.58","0.72","3.11","0.41","1400000US06037104108","Census Tract 1041.08, Los Angeles County, California"
"2.80","0.25","2.92","0.33","2.33","0.52","1400000US06037104124","Census Tract 1041.24, Los Angeles County, California"
"5.12","0.60","5.38","0.68","4.37","1.39","1400000US06037104201","Census Tract 1042.01, Los Angeles County, California"
"4.69","0.38","5.19","0.55","4.21","0.54","1400000US06037104203","Census Tract 1042.03, Los Angeles County, California"
"4.39","0.43","4.53","0.63","4.16","0.54","1400000US06037104204","Census Tract 1042.04, Los Angeles County, California"
"5.32","0.83","4.93","0.60","6.58","3.16","1400000US06037104310","Census Tract 1043.10, Los Angeles County, California"
"3.18","1.07","5.67","0.86","2.04","0.88","1400000US06037104321","Census Tract 1043.21, Los Angeles County, California"
"4.23","0.72","4.79","0.93","3.52","0.76","1400000US06037104322","Census Tract 1043.22, Los Angeles County, California"
"4.96","0.53","5.49","0.58","4.14","1.06","1400000US06037104401","Census Tract 1044.01, Los Angeles County, California"
"4.73","0.63","4.77","0.90","4.65","0.54","1400000US06037104403","Census Tract 1044.03, Los Angeles County, California"
"4.72","0.55","5.24","0.82","4.32","0.64","1400000US06037104404","Census Tract 1044.04, Los Angeles County, California"
"4.69","0.79","4.29","0.55","5.72","2.10","1400000US06037104500","Census Tract 1045, Los Angeles County, California"
