"B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With cash rent:","Margin of Error!!Total:!!With cash rent:","Estimate!!Total:!!With cash rent:!!Less than $100","Margin of Error!!Total:!!With cash rent:!!Less than $100","Estimate!!Total:!!With cash rent:!!$100 to $149","Margin of Error!!Total:!!With cash rent:!!$100 to $149","Estimate!!Total:!!With cash rent:!!$150 to $199","Margin of Error!!Total:!!With cash rent:!!$150 to $199","Estimate!!Total:!!With cash rent:!!$200 to $249","Margin of Error!!Total:!!With cash rent:!!$200 to $249","Estimate!!Total:!!With cash rent:!!$250 to $299","Margin of Error!!Total:!!With cash rent:!!$250 to $299","Estimate!!Total:!!With cash rent:!!$300 to $349","Margin of Error!!Total:!!With cash rent:!!$300 to $349","Estimate!!Total:!!With cash rent:!!$350 to $399","Margin of Error!!Total:!!With cash rent:!!$350 to $399","Estimate!!Total:!!With cash rent:!!$400 to $449","Margin of Error!!Total:!!With cash rent:!!$400 to $449","Estimate!!Total:!!With cash rent:!!$450 to $499","Margin of Error!!Total:!!With cash rent:!!$450 to $499","Estimate!!Total:!!With cash rent:!!$500 to $549","Margin of Error!!Total:!!With cash rent:!!$500 to $549","Estimate!!Total:!!With cash rent:!!$550 to $599","Margin of Error!!Total:!!With cash rent:!!$550 to $599","Estimate!!Total:!!With cash rent:!!$600 to $649","Margin of Error!!Total:!!With cash rent:!!$600 to $649","Estimate!!Total:!!With cash rent:!!$650 to $699","Margin of Error!!Total:!!With cash rent:!!$650 to $699","Estimate!!Total:!!With cash rent:!!$700 to $749","Margin of Error!!Total:!!With cash rent:!!$700 to $749","Estimate!!Total:!!With cash rent:!!$750 to $799","Margin of Error!!Total:!!With cash rent:!!$750 to $799","Estimate!!Total:!!With cash rent:!!$800 to $899","Margin of Error!!Total:!!With cash rent:!!$800 to $899","Estimate!!Total:!!With cash rent:!!$900 to $999","Margin of Error!!Total:!!With cash rent:!!$900 to $999","Estimate!!Total:!!With cash rent:!!$1,000 to $1,249","Margin of Error!!Total:!!With cash rent:!!$1,000 to $1,249","Estimate!!Total:!!With cash rent:!!$1,250 to $1,499","Margin of Error!!Total:!!With cash rent:!!$1,250 to $1,499","Estimate!!Total:!!With cash rent:!!$1,500 to $1,999","Margin of Error!!Total:!!With cash rent:!!$1,500 to $1,999","Estimate!!Total:!!With cash rent:!!$2,000 to $2,499","Margin of Error!!Total:!!With cash rent:!!$2,000 to $2,499","Estimate!!Total:!!With cash rent:!!$2,500 to $2,999","Margin of Error!!Total:!!With cash rent:!!$2,500 to $2,999","Estimate!!Total:!!With cash rent:!!$3,000 to $3,499","Margin of Error!!Total:!!With cash rent:!!$3,000 to $3,499","Estimate!!Total:!!With cash rent:!!$3,500 or more","Margin of Error!!Total:!!With cash rent:!!$3,500 or more","Estimate!!Total:!!No cash rent","Margin of Error!!Total:!!No cash rent","id","Geographic Area Name"
"627","119","609","119","0","13","0","13","0","13","0","13","0","13","23","29","0","13","0","13","0","13","0","13","0","13","0","13","23","37","0","13","0","13","0","13","37","44","91","50","36","27","212","86","140","76","47","36","0","13","0","13","18","22","1400000US06037101110","Census Tract 1011.10, Los Angeles County, California"
"336","164","244","113","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","28","43","0","13","72","70","43","70","33","44","8","11","60","64","92","104","1400000US06037101122","Census Tract 1011.22, Los Angeles County, California"
"819","155","819","155","0","13","11","18","0","13","0","13","19","17","33","31","0","13","11","16","0","13","34","36","0","13","19","22","0","13","0","13","24","23","25","29","22","27","183","66","172","132","237","89","13","18","0","13","0","13","16","20","0","13","1400000US06037101220","Census Tract 1012.20, Los Angeles County, California"
"1205","323","1144","340","0","13","0","13","0","13","0","13","0","13","0","13","0","13","23","38","0","13","37","49","0","13","0","13","0","13","0","13","16","26","0","13","0","13","183","140","470","300","264","100","82","72","37","57","32","52","0","13","61","56","1400000US06037101221","Census Tract 1012.21, Los Angeles County, California"
"859","187","845","188","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","25","27","0","13","0","13","19","26","4","14","323","130","160","151","216","105","98","83","0","13","0","13","0","13","14","22","1400000US06037101222","Census Tract 1012.22, Los Angeles County, California"
"187","85","179","84","7","11","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","7","12","9","13","91","69","49","42","16","18","0","13","8","12","1400000US06037101300","Census Tract 1013, Los Angeles County, California"
"404","149","368","135","0","13","0","13","0","13","0","13","7","10","0","13","0","13","0","13","24","37","0","13","0","13","10","16","0","13","10","15","0","13","9","14","22","33","59","47","123","110","19","24","0","13","32","52","34","43","19","22","36","43","1400000US06037101400","Census Tract 1014, Los Angeles County, California"
"299","127","273","125","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","13","20","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","19","93","96","27","31","54","41","58","45","12","13","0","13","26","30","1400000US06037102103","Census Tract 1021.03, Los Angeles County, California"
"289","100","237","92","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","28","0","13","10","16","64","54","48","49","72","58","25","41","52","36","1400000US06037102104","Census Tract 1021.04, Los Angeles County, California"
