"B25064_001E","B25064_001M","GEO_ID","NAME"
"Estimate!!Median gross rent","Margin of Error!!Median gross rent","id","Geographic Area Name"
"1723","139","1400000US06037101110","Census Tract 1011.10, Los Angeles County, California"
"2256","661","1400000US06037101122","Census Tract 1011.22, Los Angeles County, California"
"1291","119","1400000US06037101220","Census Tract 1012.20, Los Angeles County, California"
"1416","89","1400000US06037101221","Census Tract 1012.21, Los Angeles County, California"
"1330","164","1400000US06037101222","Census Tract 1012.22, Los Angeles County, California"
"2365","185","1400000US06037101300","Census Tract 1013, Los Angeles County, California"
"1337","131","1400000US06037101400","Census Tract 1014, Los Angeles County, California"
"1769","741","1400000US06037102103","Census Tract 1021.03, Los Angeles County, California"
"2776","502","1400000US06037102104","Census Tract 1021.04, Los Angeles County, California"
"1877","218","1400000US06037102105","Census Tract 1021.05, Los Angeles County, California"
"1357","224","1400000US06037102107","Census Tract 1021.07, Los Angeles County, California"
"2538","347","1400000US06037103101","Census Tract 1031.01, Los Angeles County, California"
"1375","1050","1400000US06037103102","Census Tract 1031.02, Los Angeles County, California"
"1204","145","1400000US06037103201","Census Tract 1032.01, Los Angeles County, California"
"-","**","1400000US06037103202","Census Tract 1032.02, Los Angeles County, California"
"3320","224","1400000US06037103300","Census Tract 1033, Los Angeles County, California"
"1770","192","1400000US06037103401","Census Tract 1034.01, Los Angeles County, California"
"1055","234","1400000US06037103402","Census Tract 1034.02, Los Angeles County, California"
"2174","135","1400000US06037104103","Census Tract 1041.03, Los Angeles County, California"
"961","174","1400000US06037104105","Census Tract 1041.05, Los Angeles County, California"
"1390","76","1400000US06037104108","Census Tract 1041.08, Los Angeles County, California"
"1520","1015","1400000US06037104124","Census Tract 1041.24, Los Angeles County, California"
"1836","610","1400000US06037104201","Census Tract 1042.01, Los Angeles County, California"
"1353","233","1400000US06037104203","Census Tract 1042.03, Los Angeles County, California"
"1125","583","1400000US06037104204","Census Tract 1042.04, Los Angeles County, California"
"2481","294","1400000US06037104310","Census Tract 1043.10, Los Angeles County, California"
"893","381","1400000US06037104321","Census Tract 1043.21, Los Angeles County, California"
"1157","135","1400000US06037104322","Census Tract 1043.22, Los Angeles County, California"
"1325","167","1400000US06037104401","Census Tract 1044.01, Los Angeles County, California"
"1563","253","1400000US06037104403","Census Tract 1044.03, Los Angeles County, California"
"1444","98","1400000US06037104404","Census Tract 1044.04, Los Angeles County, California"
"2200","1144","1400000US06037104500","Census Tract 1045, Los Angeles County, California"
"1537","530","1400000US06037104610","Census Tract 1046.10, Los Angeles County, California"
"1616","527","1400000US06037104620","Census Tract 1046.20, Los Angeles County, California"
"1228","116","1400000US06037104701","Census Tract 1047.01, Los Angeles County, California"
"1208","311","1400000US06037104703","Census Tract 1047.03, Los Angeles County, California"
"1427","165","1400000US06037104704","Census Tract 1047.04, Los Angeles County, California"
"1444","132","1400000US06037104821","Census Tract 1048.21, Los Angeles County, California"
"1620","100","1400000US06037104822","Census Tract 1048.22, Los Angeles County, California"
"1829","368","1400000US06037104823","Census Tract 1048.23, Los Angeles County, California"
"-","**","1400000US06037104824","Census Tract 1048.24, Los Angeles County, California"
"2223","537","1400000US06037106010","Census Tract 1060.10, Los Angeles County, California"
"1938","850","1400000US06037106020","Census Tract 1060.20, Los Angeles County, California"
"2292","269","1400000US06037106111","Census Tract 1061.11, Los Angeles County, California"
"1955","847","1400000US06037106112","Census Tract 1061.12, Los Angeles County, California"
"2100","681","1400000US06037106113","Census Tract 1061.13, Los Angeles County, California"
"1437","98","1400000US06037106114","Census Tract 1061.14, Los Angeles County, California"
"1767","540","1400000US06037106403","Census Tract 1064.03, Los Angeles County, California"
"1410","118","1400000US06037106405","Census Tract 1064.05, Los Angeles County, California"
"1949","265","1400000US06037106406","Census Tract 1064.06, Los Angeles County, California"
"1642","88","1400000US06037106407","Census Tract 1064.07, Los Angeles County, California"
"1574","111","1400000US06037106408","Census Tract 1064.08, Los Angeles County, California"
"1888","286","1400000US06037106510","Census Tract 1065.10, Los Angeles County, California"
"1863","250","1400000US06037106520","Census Tract 1065.20, Los Angeles County, California"
"3,500+","***","1400000US06037106603","Census Tract 1066.03, Los Angeles County, California"
"1670","401","1400000US06037106604","Census Tract 1066.04, Los Angeles County, California"
"2713","842","1400000US06037106641","Census Tract 1066.41, Los Angeles County, California"
"-","**","1400000US06037106642","Census Tract 1066.42, Los Angeles County, California"
"2331","137","1400000US06037106643","Census Tract 1066.43, Los Angeles County, California"
"3,500+","***","1400000US06037106645","Census Tract 1066.45, Los Angeles County, California"
"1185","619","1400000US06037106646","Census Tract 1066.46, Los Angeles County, California"
"1266","164","1400000US06037106648","Census Tract 1066.48, Los Angeles County, California"
"1845","1029","1400000US06037106649","Census Tract 1066.49, Los Angeles County, California"
"1742","151","1400000US06037107010","Census Tract 1070.10, Los Angeles County, California"
"1711","167","1400000US06037107020","Census Tract 1070.20, Los Angeles County, California"
"3025","331","1400000US06037108101","Census Tract 1081.01, Los Angeles County, California"
"2156","1349","1400000US06037108102","Census Tract 1081.02, Los Angeles County, California"
"3,500+","***","1400000US06037108103","Census Tract 1081.03, Los Angeles County, California"
"3276","71","1400000US06037108104","Census Tract 1081.04, Los Angeles County, California"
"2253","673","1400000US06037108202","Census Tract 1082.02, Los Angeles County, California"
"3372","255","1400000US06037108203","Census Tract 1082.03, Los Angeles County, California"
"3293","187","1400000US06037108204","Census Tract 1082.04, Los Angeles County, California"
"2068","1274","1400000US06037109100","Census Tract 1091, Los Angeles County, California"
"2476","240","1400000US06037109200","Census Tract 1092, Los Angeles County, California"
"2446","673","1400000US06037109300","Census Tract 1093, Los Angeles County, California"
"1291","567","1400000US06037109400","Census Tract 1094, Los Angeles County, California"
"1539","488","1400000US06037109500","Census Tract 1095, Los Angeles County, California"
"3156","115","1400000US06037109601","Census Tract 1096.01, Los Angeles County, California"
"1748","259","1400000US06037109603","Census Tract 1096.03, Los Angeles County, California"
"1283","169","1400000US06037109604","Census Tract 1096.04, Los Angeles County, California"
"2333","252","1400000US06037109700","Census Tract 1097, Los Angeles County, California"
"2235","176","1400000US06037109800","Census Tract 1098, Los Angeles County, California"
"2389","390","1400000US06037111100","Census Tract 1111, Los Angeles County, California"
"2452","473","1400000US06037111201","Census Tract 1112.01, Los Angeles County, California"
"2241","673","1400000US06037111202","Census Tract 1112.02, Los Angeles County, California"
"3335","459","1400000US06037111204","Census Tract 1112.04, Los Angeles County, California"
"2132","335","1400000US06037111205","Census Tract 1112.05, Los Angeles County, California"
"3,500+","***","1400000US06037111206","Census Tract 1112.06, Los Angeles County, California"
"1754","101","1400000US06037111302","Census Tract 1113.02, Los Angeles County, California"
"1963","302","1400000US06037111303","Census Tract 1113.03, Los Angeles County, California"
"1386","181","1400000US06037111304","Census Tract 1113.04, Los Angeles County, California"
"2345","172","1400000US06037111401","Census Tract 1114.01, Los Angeles County, California"
"1402","212","1400000US06037111402","Census Tract 1114.02, Los Angeles County, California"
"3109","374","1400000US06037113101","Census Tract 1131.01, Los Angeles County, California"
"3344","617","1400000US06037113102","Census Tract 1131.02, Los Angeles County, California"
"2208","221","1400000US06037113211","Census Tract 1132.11, Los Angeles County, California"
"2120","240","1400000US06037113212","Census Tract 1132.12, Los Angeles County, California"
"1852","120","1400000US06037113213","Census Tract 1132.13, Los Angeles County, California"
"1950","1498","1400000US06037113231","Census Tract 1132.31, Los Angeles County, California"
"1916","284","1400000US06037113232","Census Tract 1132.32, Los Angeles County, California"
"1404","131","1400000US06037113234","Census Tract 1132.34, Los Angeles County, California"
"2258","137","1400000US06037113235","Census Tract 1132.35, Los Angeles County, California"
"2005","262","1400000US06037113237","Census Tract 1132.37, Los Angeles County, California"
"1494","145","1400000US06037113238","Census Tract 1132.38, Los Angeles County, California"
"1487","318","1400000US06037113239","Census Tract 1132.39, Los Angeles County, California"
"2500","168","1400000US06037113301","Census Tract 1133.01, Los Angeles County, California"
"2379","640","1400000US06037113303","Census Tract 1133.03, Los Angeles County, California"
"1914","201","1400000US06037113322","Census Tract 1133.22, Los Angeles County, California"
"1805","88","1400000US06037113323","Census Tract 1133.23, Los Angeles County, California"
"1672","108","1400000US06037113324","Census Tract 1133.24, Los Angeles County, California"
"1869","732","1400000US06037113423","Census Tract 1134.23, Los Angeles County, California"
"1949","712","1400000US06037113424","Census Tract 1134.24, Los Angeles County, California"
"1801","68","1400000US06037113425","Census Tract 1134.25, Los Angeles County, California"
"1414","1081","1400000US06037113426","Census Tract 1134.26, Los Angeles County, California"
"1458","417","1400000US06037113427","Census Tract 1134.27, Los Angeles County, California"
"2736","617","1400000US06037113428","Census Tract 1134.28, Los Angeles County, California"
"-","**","1400000US06037115101","Census Tract 1151.01, Los Angeles County, California"
"1656","210","1400000US06037115103","Census Tract 1151.03, Los Angeles County, California"
"1603","153","1400000US06037115104","Census Tract 1151.04, Los Angeles County, California"
"1990","295","1400000US06037115202","Census Tract 1152.02, Los Angeles County, California"
"1725","273","1400000US06037115203","Census Tract 1152.03, Los Angeles County, California"
