"GEO_ID","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M","NAME"
"id","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Geographic Area Name"
"1400000US06037101110","1693","65","78.4","7.0","0.5","1.0","0.5","0.7","10.2","4.4","0.0","2.3","9.7","5.6","0.6","1.0","19.5","7.3","66.9","8.1","2.3","2.2","35.7","7.0","44.9","7.0","17.1","4.5","1190","125","46.8","8.7","53.2","8.7","81.8","5.8","8.6","4.5","9.7","4.5","503","127","58.3","14.2","34.8","13.5","23.5","13.3","41.7","14.2","26.2","12.1","15.5","11.6","24.2","(X)","21.5","(X)","29.8","(X)","51641","4983","52148","10165","-","**","-","**","26650","46355","-","**","50966","56684","250,000+","***","43409","14336","54485","10425","67083","170148","59744","10507","52763","19759","16198","6343","56458","9844","65861","7708","50924","3506","57917","9566","43333","4898","66083","28440","44831","13142","38281","36339","20461","19066","115000","140864","52708","28368","44000","28315","77024","53860","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1011.10, Los Angeles County, California"
"1400000US06037101122","1304","69","75.0","5.8","0.0","3.0","1.2","2.0","16.6","4.4","0.0","3.0","5.0","3.4","2.2","2.8","9.0","3.4","73.1","6.0","0.0","3.0","31.4","5.0","50.7","4.9","17.9","4.6","1011","94","42.5","7.0","57.5","7.0","77.4","8.3","21.2","8.2","1.4","1.6","293","99","65.2","15.4","50.9","17.0","14.3","12.7","34.8","15.4","23.2","11.3","11.6","12.0","21.9","(X)","24.9","(X)","6.8","(X)","80489","14577","79875","27231","-","**","-","**","81766","10099","-","**","4005","551","150083","186284","13523","70616","79688","26589","-","**","78077","42286","81698","9484","43281","43879","86442","19199","58929","56806","89449","18729","109125","35401","30500","35980","46944","76400","63029","18629","80190","32155","63516","50273","107955","8019","57500","20766","29688","39120","61932","118517","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1011.22, Los Angeles County, California"
"1400000US06037101210","2175","114","67.6","7.5","3.2","3.4","0.3","0.5","9.1","3.2","0.0","1.8","19.3","6.9","0.5","0.7","30.9","5.1","54.6","5.6","2.1","2.3","47.2","8.7","38.3","7.5","12.5","4.0","1696","151","48.5","9.5","51.5","9.5","61.8","9.5","21.9","7.5","16.3","7.6","479","126","56.2","15.8","31.9","12.4","24.2","14.3","43.8","15.8","36.3","14.0","7.5","10.9","35.0","(X)","31.8","(X)","38.6","(X)","39433","6871","37372","3532","110556","130582","-","**","52306","14866","-","**","50528","32470","-","**","34698","20889","37716","4318","-","**","49350","11277","34914","11176","31528","20980","35922","6898","29673","8648","40833","15339","45313","16238","22563","11427","35827","13193","40094","5258","37455","4379","31198","12588","41875","33809","50313","15589","45625","16944","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1012.10, Los Angeles County, California"
"1400000US06037101220","1173","85","78.9","6.9","0.9","1.4","0.9","1.4","4.4","3.4","0.0","3.3","14.2","6.2","0.7","1.1","28.9","6.4","64.2","6.3","1.1","1.8","31.3","7.2","47.0","10.0","20.6","6.0","777","111","39.9","10.9","60.1","10.9","69.9","9.2","19.8","8.4","10.3","7.2","396","98","63.4","12.0","53.3","13.5","10.1","10.0","36.6","12.0","27.3","12.4","9.3","8.4","26.8","(X)","26.3","(X)","27.8","(X)","45687","4067","44856","10399","-","**","-","**","52333","43199","-","**","45078","9671","-","**","44970","3621","44875","23886","-","**","46719","19901","50156","12241","19231","4023","44976","13079","56337","10642","42396","16009","54327","14397","42738","13738","70000","61565","39722","19209","46198","23915","37639","16686","62381","78159","24890","26696","26591","34575","24213","57051","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1012.20, Los Angeles County, California"
"1400000US06037101300","1408","90","93.3","3.8","0.0","2.8","0.6","1.0","4.8","2.8","0.0","2.8","1.3","1.8","0.0","2.8","5.3","3.2","89.3","4.3","3.6","3.0","22.9","6.0","47.2","6.8","26.3","4.4","1065","97","39.5","8.1","60.5","8.1","87.0","6.2","8.0","4.4","5.0","5.1","343","78","65.9","13.7","54.8","14.1","11.1","8.5","34.1","13.7","19.5","10.4","14.6","15.1","33.0","(X)","33.2","(X)","23.3","(X)","60612","14140","55893","13177","-","**","-","**","74464","126445","-","**","-","**","-","**","46053","61775","56607","13159","60484","23910","52485","62632","84783","23316","28984","10847","73185","17903","91705","34442","61875","24280","82636","22704","48304","21669","16893","114019","37560","12382","39750","14020","27250","28024","140333","135026","33750","24352","23625","14931","61129","22272","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1013, Los Angeles County, California"
"1400000US06037101400","1395","81","87.7","5.8","3.2","3.9","1.6","2.3","2.1","2.3","0.0","2.8","4.4","3.9","1.1","1.8","9.5","4.1","81.5","6.6","3.7","4.1","26.7","7.3","49.0","6.5","20.7","4.9","964","126","39.8","7.9","60.2","7.9","77.0","11.4","20.3","11.0","2.7","3.3","431","99","51.7","14.5","42.5","14.3","9.3","8.1","48.3","14.5","32.3","12.9","16.0","13.6","25.1","(X)","20.7","(X)","34.8","(X)","72188","9746","73281","11162","14315","174179","-","**","26750","153636","-","**","53438","63301","-","**","53333","39560","74087","14230","14556","23475","93393","48711","70104","20467","71172","20142","73256","21221","75909","22894","62267","35847","86071","27062","42617","33841","74231","28715","59034","19572","57557","18499","51484","13341","113667","97697","66912","21167","52557","47645","72396","36919","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1014, Los Angeles County, California"
"1400000US06037102103","668","11","77.1","12.9","1.5","2.8","2.5","3.6","12.3","14.4","0.0","5.8","3.0","4.8","3.6","6.6","17.4","7.7","66.3","12.5","0.0","5.8","13.8","8.4","56.7","14.6","29.5","10.0","493","96","30.0","7.4","70.0","7.4","62.9","19.1","37.1","19.1","0.0","7.8","175","95","76.6","24.5","52.0","29.2","24.6","23.7","23.4","24.5","23.4","24.5","0.0","20.3","20.2","(X)","23.3","(X)","11.4","(X)","74868","32016","65625","15381","-","**","-","**","-","**","-","**","-","**","-","**","130417","117317","63802","31168","-","**","119000","156784","132031","60752","23071","7152","91821","52035","92429","65293","85982","90593","91000","35035","136369","197609","-","**","31688","62037","65921","37323","24013","62738","130260","122216","12440","38147","12440","38147","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1021.03, Los Angeles County, California"
"1400000US06037102104","1315","45","91.0","4.8","0.6","1.0","0.0","3.0","7.6","4.4","0.0","3.0","0.0","3.0","0.8","1.5","13.1","5.2","78.7","6.0","0.0","3.0","26.2","6.8","49.5","8.8","24.3","6.8","952","123","29.8","9.4","70.2","9.4","71.4","12.3","18.4","9.1","10.2","9.2","363","124","66.7","15.5","42.7","17.5","24.0","15.8","33.3","15.5","19.3","12.6","14.0","12.1","37.1","(X)","36.7","(X)","38.3","(X)","85492","10593","86970","22537","-","**","-","**","81458","9458","-","**","-","**","-","**","133600","50185","85038","17299","-","**","77419","32055","104432","44317","71350","24469","98026","27049","76739","41711","99737","28880","98618","27210","79489","23644","250,000+","***","76734","7842","74722","3390","74148","13720","75282","17739","89432","29372","81250","27734","111118","114699","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1021.04, Los Angeles County, California"
"1400000US06037102105","526","78","60.5","19.2","0.0","7.3","0.0","7.3","8.0","10.0","0.0","7.3","28.3","16.6","3.2","5.9","70.0","12.4","22.1","15.2","0.0","7.3","34.6","13.1","50.6","19.4","14.8","12.2","248","120","40.7","19.1","59.3","19.1","81.9","18.7","4.8","8.1","13.3","17.0","278","123","65.8","29.4","54.0","31.3","11.9","10.6","34.2","29.4","29.5","27.8","4.7","9.3","42.8","(X)","48.4","(X)","37.8","(X)","51705","15774","41373","18320","-","**","-","**","64375","165494","-","**","54707","134923","-","**","51667","15902","17000","62174","-","**","49643","8793","105588","89805","7378","17684","54468","72090","98047","84579","49821","71908","74583","73987","-","**","48036","5776","40523","36797","25947","25250","14737","48464","-","**","212801","234756","213102","263081","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1021.05, Los Angeles County, California"
