ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
90017,LOS ANGELES,5070003033,2021,00067,5070-003-033,1376 S ORANGE DR  LOS ANGELES CA  90017,R-I,0200,Residential,"Double, Duplex, or Two Units",4 Stories or Less,,1,1926,1926,1973,3,2,2,20160614,831170.00,2016,349965.00,2016,1181135.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,1181135.00,0.00,1181135.00,,09,09432,TRACT NO 5069 LOT  245,1376,,S,ORANGE DR,,LOS ANGELES CA,90017,20215070003033,34.048632849999997,-118.34634432,"(34.04863285, -118.34634432)"
90017,LOS ANGELES,5115016009,2021,00007,5115-016-009,880 E 43RD ST  LOS ANGELES CA  90017,R-I,0200,Residential,"Double, Duplex, or Two Units",4 Stories or Less,,2,1909,2007,2218,4,2,2,20190627,337029.00,2019,216205.00,2019,553234.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,553234.00,0.00,553234.00,,12,12405,ROSE TRACT W 40 FT OF LOT   29,880,,E,43RD ST,,LOS ANGELES CA,90017,20215115016009,34.005467979999999,-118.26012538000001,"(34.00546798, -118.26012538)"
90017,LOS ANGELES,5143027044,2021,00067,5143-027-044,"1010 WILSHIRE BLVD, NO   212  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,850,1,1,1,20061002,14827.00,2005,145724.00,2008,160551.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,160551.00,0.00,160551.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 212 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   212,LOS ANGELES CA,90017,20215143027044,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143027069,2021,00067,5143-027-069,"1010 WILSHIRE BLVD, NO   407  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,740,1,1,1,20061002,14827.00,2005,126867.00,2008,141694.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,141694.00,0.00,141694.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 407 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   407,LOS ANGELES CA,90017,20215143027069,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5144006054,2021,00211,5144-006-054,"655 S HOPE ST, NO   808  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1964,2000,900,1,1,1,20160902,109899.00,2017,439602.00,2017,549501.00,7000.00,0.00,0.00,0.00,0.00,0.00,Y,549501.00,7000.00,542501.00,,09,09296,TR=67656 LOT 1 CONDO UNIT 23 (AIRSPACE AND 1/81 INT IN COMMON AREA),655,,S,HOPE ST,NO   808,LOS ANGELES CA,90017,20215144006054,34.048372319999999,-118.25769099,"(34.04837232, -118.25769099)"
90017,LOS ANGELES,5143019108,2021,00067,5143-019-108,"1234 WILSHIRE BLVD, NO   328  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,920,1,1,1,20191108,226724.00,2019,345240.00,2019,571964.00,7000.00,0.00,0.00,0.00,0.00,0.00,Y,571964.00,7000.00,564964.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 85 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   328,LOS ANGELES CA,90017,20215143019108,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143019208,2021,00067,5143-019-208,"1234 WILSHIRE BLVD, NO   608  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,890,1,1,1,20200220,166709.00,2020,404144.00,2020,570853.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,570853.00,0.00,570853.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 185 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   608,LOS ANGELES CA,90017,20215143019208,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143019076,2021,00067,5143-019-076,"1234 WILSHIRE BLVD, NO   235  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,1130,1,2,1,20170725,120885.00,2018,483542.00,2018,604427.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,604427.00,0.00,604427.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 53 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   235,LOS ANGELES CA,90017,20215143019076,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143019155,2021,00067,5143-019-155,"1234 WILSHIRE BLVD, NO   435  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,1130,1,2,1,20200130,202072.00,2020,343522.00,2020,545594.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,545594.00,0.00,545594.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 132 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   435,LOS ANGELES CA,90017,20215143019155,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143019053,2021,00067,5143-019-053,"1234 WILSHIRE BLVD, NO   212  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,1470,3,3,1,20150630,272691.00,2012,191462.00,2012,464153.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,464153.00,0.00,464153.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 30 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   212,LOS ANGELES CA,90017,20215143019053,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
